time_s,amplitude
0.584,0.052452
0.585,0.057817
0.586,0.060797
0.587,0.054836
0.588,0.043809
0.589,0.029802
0.59,0.019073
0.591,0.012517
0.592,0.0041723
0.593,0.0020862
0.594,0.0074506
0.595,0.018775
0.596,0.0301
0.597,0.039339
0.598,0.048876
0.599,0.059605
0.6,0.068545
0.601,0.067353
0.602,0.063777
0.603,0.057518
0.604,0.04828
0.605,0.043511
0.606,0.030398
0.607,0.014007
0.608,0.0062585
0.609,0.0017881
0.61,-0.0017881
0.611,-0.0041723
0.612,-0.00089407
0.613,0.0041723
0.614,0.0017881
0.615,0.00029802
0.616,0.0050664
0.617,0.00029802
0.618,-0.0032783
0.619,0.0044703
0.62,-0.0026822
0.621,-0.0080466
0.622,0.0047684
0.623,0.013411
0.624,0.011623
0.625,0.0077486
0.626,0.014901
0.627,0.016987
0.628,0.0041723
0.629,-0.0080466
0.63,-0.021458
0.631,-0.026524
0.632,-0.029802
0.633,-0.043511
0.634,-0.052154
0.635,-0.062287
0.636,-0.070333
0.637,-0.069737
0.638,-0.072122
0.639,-0.073314
0.64,-0.065565
0.641,-0.049174
0.642,-0.037551
0.643,-0.029802
0.644,-0.014603
0.645,0.0023842
0.646,0.018179
0.647,0.026226
0.648,0.033975
0.649,0.044107
0.65,0.044107
0.651,0.032783
0.652,0.014603
0.653,-0.0035763
0.654,-0.024438
0.655,-0.037551
0.656,-0.047684
0.657,-0.061691
0.658,-0.060499
0.659,-0.05126
0.66,-0.044107
0.661,-0.037551
0.662,-0.0301
0.663,-0.023842
0.664,-0.02265
0.665,-0.02265
0.666,-0.025928
0.667,-0.028312
0.668,-0.0301
0.669,-0.033081
0.67,-0.035167
0.671,-0.047088
0.672,-0.04828
0.673,-0.033379
0.674,-0.031292
0.675,-0.036061
0.676,-0.047088
0.677,-0.055432
0.678,-0.055432
0.679,-0.064075
0.68,-0.07242
0.681,-0.072718
0.682,-0.07391
0.683,-0.084341
0.684,-0.090301
0.685,-0.081062
0.686,-0.059605
0.687,-0.033379
0.688,-0.019073
0.689,-0.0065565
0.69,0.0074506
0.691,0.013113
0.692,0.012815
0.693,0.010133
0.694,0.011325
0.695,0.0095367
0.696,0.0044703
0.697,-0.0077486
0.698,-0.02414
0.699,-0.029504
0.7,-0.034869
0.701,-0.046492
0.702,-0.05424
0.703,-0.053644
0.704,-0.048578
0.705,-0.047088
0.706,-0.047982
0.707,-0.041723
0.708,-0.02414
0.709,-0.013411
0.71,-0.010729
0.711,-0.0029802
0.712,0.0020862
0.713,0.0059605
0.714,0.0065565
0.715,-0.0017881
0.716,-0.0095367
0.717,-0.017881
0.718,-0.027418
0.719,-0.02861
0.72,-0.030994
0.721,-0.037551
0.722,-0.038147
0.723,-0.036657
0.724,-0.031888
0.725,-0.027418
0.726,-0.030398
